Contrast,Simulation_1,Simulation_2,Simulation_3,Simulation_4,Simulation_5,Simulation_6,Simulation_7,Simulation_8,Simulation_9,Simulation_10,Simulation_11,Simulation_12,Simulation_13,Simulation_14,Simulation_15,Simulation_16,Simulation_17,Simulation_18,Simulation_19,Simulation_20
12.121212121212121,1.8562619574463213,1.6590470604134193,1.7966996022656052,2.170628263264838,1.9196975314884042,2.1113071753980086,2.0937480151004184,2.0621040335326106,2.018030705811443,1.7755810038002562,2.158337618107732,1.696636696636694,2.1811134601832265,1.6999808407754085,1.6773510700157874,1.9778361553854715,1.8042887817641398,1.8145857755276547,1.8264256069134066,1.873400108940757
13.131313131313131,2.1124845395105516,1.9197430227888574,2.055018025307608,2.4216308895643763,2.174376317869081,2.362861354804229,2.344133028084538,2.3113080922604783,2.2698846564462163,2.0321385486200096,2.4089738840696677,1.956912818981781,2.430702372562836,1.959249949718953,1.9370613212186178,2.2323026504743613,2.0621465712971987,2.0713111303655114,2.084162450016103,2.1292886017669415
14.141414141414142,2.368707121574782,2.1804389851642956,2.313336448349611,2.6726335158639145,2.429055104249758,2.6144155342104503,2.5945180410686572,2.5605121509883464,2.52173860708099,2.2886960934397633,2.659610150031604,2.2171889413268686,2.6802912849424456,2.2185190586624977,2.196771572421448,2.486769145563251,2.3200043608302576,2.328036485203368,2.341899293118799,2.385177094593126
15.151515151515152,2.6249297036390122,2.4411349475397337,2.571654871391614,2.9236361421634527,2.683733890630435,2.865969713616671,2.844903054052777,2.809716209716214,2.773592557715763,2.5452536382595174,2.91024641599354,2.4774650636719557,2.9298801973220554,2.4777881676060423,2.4564818236242787,2.7412356406521408,2.5778621503633166,2.584761840041225,2.5996361362214957,2.6410655874193107
16.161616161616163,2.881152285703243,2.7018309099151723,2.829973294433617,3.174638768462991,2.9384126770111116,3.117523893022892,3.0952880670368965,3.0589202684440817,3.0254465083505364,2.801811183079271,3.1608826819554756,2.7377411860170433,3.1794691097016647,2.737057276549587,2.716192074827109,2.9957021357410305,2.8357199398963755,2.841487194879081,2.8573729793241918,2.896954080245495
17.171717171717173,3.1373748677674733,2.9625268722906104,3.0882917174756197,3.4256413947625286,3.193091463391789,3.3690780724291125,3.3456730800210157,3.30812432717195,3.27730045898531,3.058368727899025,3.4115189479174117,2.9980173083621304,3.4290580220812745,2.9963263854931315,2.975902326029939,3.2501686308299202,3.0935777294294344,3.098212549716938,3.1151098224268883,3.1528425730716796
18.181818181818183,3.3935974498317036,3.2232228346660485,3.3466101405176225,3.676644021062067,3.4477702497724656,3.620632251835333,3.5960580930051353,3.5573283858998175,3.5291544096200833,3.3149262727187785,3.662155213879348,3.2582934307072176,3.6786469344608843,3.255595494436676,3.2356125772327693,3.50463512591881,3.3514355189624934,3.3549379045547947,3.3728466655295843,3.408731065897864
19.191919191919194,3.649820031895934,3.4839187970414867,3.6049285635596258,3.927646647361605,3.7024490361531424,3.872186431241554,3.8464431059892545,3.806532444627685,3.7810083602548565,3.571483817538532,3.912791479841284,3.518569553052305,3.9282358468404937,3.5148646033802207,3.4953228284356,3.7591016210076997,3.6092933084955523,3.6116632593926514,3.630583508632281,3.6646195587240484
20.202020202020204,3.9060426139601643,3.744614759416925,3.8632469866016286,4.178649273661143,3.957127822533819,4.123740610647775,4.096828118973374,4.055736503355553,4.03286231088963,3.828041362358286,4.16342774580322,3.7788456753973922,4.177824759220103,3.7741337123237653,3.75503307963843,4.0135681160965895,3.8671510980286112,3.868388614230508,3.888320351734977,3.920508051550233
21.212121212121215,4.162265196024395,4.005310721792363,4.121565409643631,4.429651899960681,4.211806608914496,4.375294790053996,4.347213131957494,4.304940562083421,4.284716261524403,4.084598907178039,4.414064011765156,4.03912179774248,4.427413671599713,4.03340282126731,4.01474333084126,4.268034611185479,4.12500888756167,4.125113969068365,4.146057194837673,4.176396544376417
22.222222222222225,4.418487778088625,4.2660066841678015,4.379883832685635,4.680654526260219,4.466485395295173,4.626848969460216,4.597598144941613,4.554144620811289,4.536570212159177,4.341156451997793,4.664700277727092,4.299397920087567,4.677002583979323,4.2926719302108545,4.2744535820440905,4.522501106274369,4.382866677094729,4.381839323906221,4.4037940379403695,4.432285037202602
23.232323232323235,4.674710360152855,4.52670264654324,4.638202255727637,4.931657152559757,4.72116418167585,4.878403148866437,4.847983157925732,4.803348679539156,4.78842416279395,4.597713996817547,4.915336543689028,4.559674042432654,4.926591496358932,4.551941039154399,4.534163833246921,4.776967601363259,4.640724466627788,4.638564678744078,4.661530881043066,4.688173530028786
24.242424242424242,4.930932942217085,4.787398608918677,4.896520678769639,5.1826597788592945,4.975842968056526,5.129957328272657,5.098368170909851,5.052552738267023,5.040278113428722,4.8542715416373,5.165972809650962,4.81995016477774,5.176180408738541,4.811210148097943,4.793874084449751,5.031434096452148,4.898582256160846,4.895290033581934,4.919267724145762,4.94406202285497
25.252525252525253,5.187155524281315,5.048094571294115,5.154839101811642,5.433662405158833,5.230521754437203,5.381511507678878,5.348753183893971,5.3017567969948916,5.292132064063496,5.110829086457054,5.416609075612898,5.080226287122828,5.425769321118151,5.070479257041487,5.053584335652581,5.285900591541037,5.156440045693905,5.152015388419791,5.177004567248457,5.199950515681154
26.262626262626263,5.443378106345546,5.308790533669553,5.413157524853645,5.684665031458371,5.48520054081788,5.633065687085098,5.59913819687809,5.550960855722759,5.54398601469827,5.3673866312768075,5.6672453415748345,5.340502409467915,5.675358233497761,5.329748365985032,5.313294586855411,5.540367086629927,5.4142978352269635,5.408740743257647,5.434741410351154,5.455839008507339
27.272727272727273,5.699600688409776,5.569486496044991,5.671475947895648,5.935667657757909,5.739879327198556,5.884619866491319,5.84952320986221,5.800164914450627,5.795839965333043,5.623944176096561,5.917881607536771,5.600778531813003,5.92494714587737,5.589017474928577,5.5730048380582415,5.794833581718817,5.672155624760022,5.6654660980955045,5.69247825345385,5.711727501333524
28.282828282828284,5.955823270474006,5.830182458420429,5.929794370937651,6.186670284057447,5.994558113579234,6.1361740458975405,6.099908222846329,6.0493689731784945,6.047693915967816,5.880501720916315,6.168517873498707,5.86105465415809,6.1745360582569795,5.848286583872121,5.832715089261072,6.0493000768077065,5.930013414293081,5.922191452933361,5.950215096556547,5.967615994159708
