mean_contrast,coupling_strength,delta_C,plv
30,0.1,-20.0,0.35135767880125685
30,0.1,-15.555555555555555,0.2537018757889465
30,0.1,-11.11111111111111,0.2374285877350671
30,0.1,-6.666666666666666,0.2117530823900481
30,0.1,-2.2222222222222214,0.5570622937978128
30,0.1,2.2222222222222214,0.45120926132348826
30,0.1,6.666666666666668,0.3336118817972836
30,0.1,11.111111111111114,0.27910420374602474
30,0.1,15.555555555555557,0.28015197398067204
30,0.1,20.0,0.3619406829451186
30,0.2,-20.0,0.529451757578513
30,0.2,-15.555555555555555,0.4782053114608743
30,0.2,-11.11111111111111,0.44851063112976347
30,0.2,-6.666666666666666,0.44175058996186445
30,0.2,-2.2222222222222214,0.8033064274419186
30,0.2,2.2222222222222214,0.8795241318455738
30,0.2,6.666666666666668,0.6083527532957296
30,0.2,11.111111111111114,0.4538914452364375
30,0.2,15.555555555555557,0.5340794551440851
30,0.2,20.0,0.6506654796560714
30,0.30000000000000004,-20.0,0.7221906385927912
30,0.30000000000000004,-15.555555555555555,0.6519587409989279
30,0.30000000000000004,-11.11111111111111,0.63543540756631
30,0.30000000000000004,-6.666666666666666,0.7898451418683761
30,0.30000000000000004,-2.2222222222222214,0.907666114433726
30,0.30000000000000004,2.2222222222222214,0.9105067905093963
30,0.30000000000000004,6.666666666666668,0.7672452604607445
30,0.30000000000000004,11.111111111111114,0.671183921152141
30,0.30000000000000004,15.555555555555557,0.6615367027767178
30,0.30000000000000004,20.0,0.7032017666126245
30,0.4,-20.0,0.8291040361772342
30,0.4,-15.555555555555555,0.6965529859549338
30,0.4,-11.11111111111111,0.7002587929077572
30,0.4,-6.666666666666666,0.8730744848816431
30,0.4,-2.2222222222222214,0.9558029417347378
30,0.4,2.2222222222222214,0.9434710961503963
30,0.4,6.666666666666668,0.868876661076034
30,0.4,11.111111111111114,0.7536707788939524
30,0.4,15.555555555555557,0.7695433053004376
30,0.4,20.0,0.8082457674353136
30,0.5,-20.0,0.8053750411550202
30,0.5,-15.555555555555555,0.7690668355316145
30,0.5,-11.11111111111111,0.8854395246243725
30,0.5,-6.666666666666666,0.9502926171468723
30,0.5,-2.2222222222222214,0.965443535708202
30,0.5,2.2222222222222214,0.9648738674930917
30,0.5,6.666666666666668,0.946727144968283
